Santa Catarina | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2023],
Santa Terezinha,4215679,terezinhense,VALQUIRIA SCHWARZ,715.551,8066,11.27,8015,99.67,0.669,-,57024672.23,50372988.9,42495.5,
Santa Terezinha do Progresso,4215687,terezinhano,ELISEU ALVES DA SILVA,119.653,2576,21.53,2534,99.23,0.682,51.28,35173777.28,31161755.34,34552.04,
Santiago do Sul,4215695,santiaguense,ALACIR DURANTE,73.335,1651,22.51,1732,100,0.728,-,32754603.54,30165096.09,37805.69,
Santo Amaro da Imperatriz,4215703,santo-amarense,GUSTAVO JOSE DE ABREU,344.235,27272,79.22,30099,96.31,0.781,3.18,211702527.24,202768515.31,64165.32,
S&atilde;o Bernardino,4215752,bernardinense,DALVIR LUIZ LUDWIG,149.891,2684,17.91,2715,100,0.677,-,37528099.93,32938194.06,41274.74,
S&atilde;o Bento do Sul,4215802,s&atilde;o-bentense,ANTONIO JOAQUIM TOMAZINI FILHO,495.002,83277,167.97,87661,98.45,0.782,4.9,699035152.9,609217109.55,60499.58,
S&atilde;o Bonif&aacute;cio,4215901,s&atilde;o-bonifacense,SAULO BUSS,461.438,2946,6.38,2982,100,0.731,-,34102820.79,28684426.56,90064.34,
S&atilde;o Carlos,4216008,s&atilde;o-carlense,DELTON PAULO BALBINOT,162.120,10282,63.42,10462,96.24,0.769,-,95311224.44,83444830.81,77318.57,
S&atilde;o Crist&oacute;v&atilde;o do Sul,4216057,s&atilde;o-cristovense,JAIME CESCA,345.903,6084,17.59,6489,97.81,0.665,14.71,52593941.31,48856012.41,32429.12,
S&atilde;o Domingos,4216107,dominguense,M&Aacute;RCIO LUIZ BIGOLIN GROSBELLI,367.525,9226,25.10,9343,99.56,0.765,9.62,64745495.99,60863477.1,58115.51,
S&atilde;o Francisco do Sul,4216206,francisquense,GODOFREDO GOMES MOREIRA FILHO,493.266,52674,106.79,56726,98.73,0.762,10.94,622672923.84,555441977.66,140417.13,
S&atilde;o Jo&atilde;o do Oeste,4216255,s&atilde;o-joanense,S&Eacute;RGIO LU&Iacute;S THEISEN,163.589,6295,38.44,6467,100,0.761,-,59181305.87,49795344.65,73577.19,
S&atilde;o Jo&atilde;o Batista,4216305,batistense,JULIANO PEIXER,200.765,32687,162.81,35336,99.31,0.740,6.52,222419642.31,203840899.09,39885.11,
S&atilde;o Jo&atilde;o do Itaperi&uacute;,4216354,itaperiuense,ROV&Acirc;NI DELMONEGO,151.885,4463,29.38,4827,99.17,0.738,-,55378544.82,41965171.43,102135.44,
S&atilde;o Jo&atilde;o do Sul,4216404,jo&atilde;o-sulense,ALEX SANDRO PEREIRA BIANCHIN,184.375,8668,47.01,9278,98.11,0.695,10.2,64680705.9,56258808.89,50150.57,
S&atilde;o Joaquim,4216503,joaquinense,JOSE TEODORO DE SENA AMARAL,1888.634,25939,13.73,26982,98.27,0.687,12.86,171854208.09,137417628.66,57243.95,
S&atilde;o Jos&eacute;,4216602,josefense,ORVINO COELHO DE &Aacute;VILA,150.499,270299,1796.02,295658,98.23,0.809,8.64,1488709278.06,1387126994.09,57623.86,
S&atilde;o Jos&eacute; do Cedro,4216701,cedrense,FERNANDO J&Uacute;LIO WILL,280.760,14167,50.46,14538,98.28,0.731,12.2,108820393.63,96042157.33,48132.38,
S&atilde;o Jos&eacute; do Cerrito,4216800,cerritense,TAINARA BARBOSA RAITZ,948.714,8708,9.18,8706,99.64,0.636,-,55394028.1,48252964.89,40869.77,
S&atilde;o Louren&ccedil;o do Oeste,4216909,lourencense ou lourenciano,AGUSTINHO ASSIS MENEGATTI,356.193,24791,69.60,26056,99.68,0.749,12.35,211774879.56,191034937.43,74360.59,
S&atilde;o Ludgero,4217006,s&atilde;o-ludgerense,PAULO SERGIO LORENZETTI,106.765,13509,126.53,14444,99.82,0.755,9.13,114414185.28,100974621.49,91900.03,
S&atilde;o Martinho,4217105,s&atilde;o-martinhense,ANELISE WIEMES,224.566,3405,15.16,3520,100,0.742,-,39416672.97,34997122.54,43624.34,
S&atilde;o Miguel da Boa Vista,4217154,boa-vistense,VANDERLEI BONALDO,72.755,1781,24.48,1777,100,0.710,-,37181125.43,32929533.43,41477.43,
S&atilde;o Miguel do Oeste,4217204,miguel-oestino,VARDELIDIO EDENILSON ZANARDI,233.830,44330,189.28,47724,99.53,0.801,9.85,278038772.9,261173671.72,70045.07,
S&atilde;o Pedro de Alc&acirc;ntara,4217253,alcantarense,CHARLES DA CUNHA,139.196,5776,41.50,6175,100,0.734,-,59382148.85,53034017.29,25677.1,
Saudades,4217303,saudadense,MACIEL SCHNEIDER,205.781,10265,49.88,10799,96.54,0.755,33.61,82839302.97,72771844.24,69991.49,
Schroeder,4217402,cheredense,JAIR BRIDAROLI,165.237,20061,121.41,21710,100,0.769,8.47,140356857.73,119692525.74,45191.73,
Seara,4217501,searaense,GILBERTO DE MORAES GON&Ccedil;ALVES,309.627,18620,60.14,19399,98.95,0.779,7.38,144546349.16,124196818.74,80915.56,
Serra Alta,4217550,serra-altense,RAFAEL MARIN,90.564,3303,36.47,3370,100,0.773,-,41408145.01,32161938.82,44625.55,
Sider&oacute;polis,4217600,sideropolitano,ANGELO FRANQUI SALVARO,262.003,13714,52.34,14156,96.65,0.774,6.33,97059367.1,91827256.15,58661.35,
Sombrio,4217709,sombriense,GISLANE DIAS DA CUNHA,143.457,29991,209.06,31722,100,0.728,5.12,195322154.14,170575331.36,43491.69,
Sul Brasil,4217758,sul brasilense,VANDERLEI GALLINA,113.125,2832,25.03,2900,98.45,0.707,-,41722903.87,36697692.58,43651.01,
Tai&oacute;,4217808,taioense,ARISTIDES ELOI VALENTINI,693.847,18310,26.39,18909,100,0.761,7.25,150592900.94,139938818.74,56705.24,
Tangar&aacute;,4217907,tangaraense,ALDAIR BIASIOLO,390.044,8143,20.88,8144,99.41,0.737,9.62,82813204.84,71579503.28,93366.66,
Tigrinhos,4217956,tigrinhense,SIDNEI CARLOS BERNHARD,56.962,2329,40.89,2535,100,0.717,33.33,35807059.07,31084919.24,37934.35,
Tijucas,4218004,tijuquense,MAICKON CAMPOS SGROTT,279.263,51592,184.81,58695,98.77,0.760,7.93,374686399.57,337795748.9,71465.52,
Timb&eacute; do Sul,4218103,timbeense,VILMAR MAFFIOLETTE,328.507,5386,16.40,5503,98.22,0.720,16.39,55437668.6,50798650.46,36742.01,
Timb&oacute;,4218202,timboense,FL&Aacute;VIO GERMANO BUZZI,128.313,46099,359.27,49768,99.51,0.784,15.63,311874530.74,319336291.71,59389.93,
Timb&oacute; Grande,4218251,timb&oacute;-grandense,ARI JOS&Eacute; GALESKI,596.344,7342,12.31,7521,98.44,0.659,8.62,65969284.7,60552290.05,41467.28,
Tr&ecirc;s Barras,4218301,tr&ecirc;s-barrense,ANA CLAUDIA DA SILVEIRA QUEGE,436.496,19746,45.24,20525,99.65,0.706,12.5,183994358.12,181830606.36,104330.47,
Treviso,4218350,trevisano,LUCIANO RUBENS MIOTELLI,156.610,3782,24.15,3920,99.06,0.774,-,53489857.97,48765258.59,52591.2,
Treze de Maio,4218400,treze-maioense,JAILSO BARDINI,159.833,7362,46.06,7633,100,0.729,18.35,48177973.47,46664081.55,34707.42,
Treze T&iacute;lias,4218509,treze-tiliense,ARMINDO ANSILIERO JUNIOR,176.927,8787,47.26,9531,99.42,0.795,6.71,91172540.77,84468248.39,135979.77,
Trombudo Central,4218608,trombudense,MARLON GOEDE,109.648,7274,66.34,7599,100,0.775,20,63920987.9,54766278.25,59572.41,
Tubar&atilde;o,4218707,tubaronense,ESTENER SORATTO DA SILVA JUNIOR,301.485,110088,365.15,116725,96.81,0.796,12.87,525063166.58,516905462,54566.42,
Tun&aacute;polis,4218756,tunapolitano,MARINO JOSE FREY,132.939,4916,36.98,5081,100,0.752,-,54447294.17,42008140.22,46685.49,
Turvo,4218806,turvense,HERIBERTO AFONSO SCHMIDT,235.104,13043,55.48,13604,99.38,0.740,6.37,92749865.44,90310688.03,76105.1,
Uni&atilde;o do Oeste,4218855,uni&atilde;o-oestense,EVERALDO LUIS CASONATTO,92.857,2774,29.87,2791,100,0.705,-,43664912.28,34916120.79,42088.28,
Urubici,4218905,urubiciense,LEANDRO DE SOUZA CORR&Ecirc;A,1021.371,10834,10.61,11064,100,0.694,-,85488886.44,76509376.27,43545.84,
Urupema,4218954,urupemense,CRISTIANE MUNIZ PAGANI ALMEIDA,350.472,2656,7.58,2751,100,0.699,-,34226634.92,29372326.29,49642.35,
Urussanga,4219002,urussanguense,STELA MARIS DE AGOSTIN TALAMINI,254.954,20919,82.05,21464,99.49,0.772,9.35,148859591.76,133186026.05,58437.16,
Varge&atilde;o,4219101,vargeonense,AMARILDO PAGLIA,166.685,3634,21.80,3726,99.4,0.686,-,52430014.71,45318496.06,83058.47,
Vargem,4219150,vargense,NELSON GASPERIN JUNIOR,350.606,2627,7.49,2613,99.11,0.629,41.67,34214613.25,30970767.3,38090.55,
Vargem Bonita,4219176,vargembonitense,NADIR PONTIN,299.807,4576,15.26,4597,100,0.718,-,67156765.54,52306403.76,144578.53,
Vidal Ramos,4219200,vidal-ramense,LAERCIO DA CRUZ,346.932,6189,17.84,6266,100,0.700,-,61532930.39,52149413.85,64946.42,
Videira,4219309,videirense,WILMAR CARELLI,384.126,55466,144.39,59074,99.86,0.764,9.14,459394131.73,421965879.14,74451.42,
Vitor Meireles,4219358,vitor-meirelense,MARCELO DAROLT,370.414,5370,14.50,5507,99.53,0.673,-,45372397.61,41798356.15,36079.19,
Witmarsum,4219408,witmarsumense,PAUL ZERNA,153.776,4255,27.67,4513,100,0.710,-,52221764.25,58856353,46495.65,
Xanxer&ecirc;,4219507,xanxerense,OSCAR MARTARELLO,377.426,51607,136.73,54891,96.18,0.775,7.33,303146780.83,256913590.05,60952.29,
Xavantina,4219606,xavantinense,VALDENIR JOSE MARCHIORO,218.032,3653,16.75,3583,100,0.749,-,53301522.49,43158832.32,68286.21,
Xaxim,4219705,xaxiense,EDILSON ANTONIO FOLLE,293.628,31918,108.70,34485,89.79,0.752,12.08,204924306.09,193112170.7,54435.66,
Zort&eacute;a,4219853,zorteense,ROSANE ANTUNES PIRES INFELD,190.028,3930,20.66,4257,98.66,0.761,-,49750304.38,43137803.9,34366.41,
Balne&aacute;rio Rinc&atilde;o,4220000,balneo-rinconense,LUIZ GUSTAVO DA LUZ NETO,63.512,15981,251.99,17697,98.27,-,5.08,127936190.32,118323779.32,26294.21,

<table class="fontes-container"><tr><th>Notas:</th></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: [população residente no município de 6 a 14 anos de idade matriculada no ensino regular/total de população residente no município de 6 a 14 anos de idade] x 100</td></tr><tr><th>Fontes:</th></tr><tr><td>Área Territorial: Área territorial brasileira 2022. Rio de Janeiro: IBGE, 2023</td></tr><tr><td>Popula&ccedil;&atilde;o no &uacute;ltimo censo: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Densidade demogr&aacute;fica: Censo 2022: População e Domicílios - Primeiros Resultados - Atualizado em 22/12/2023</td></tr><tr><td>Popula&ccedil;&atilde;o estimada: IBGE, Diretoria de Pesquisas, Coordenação de População e Indicadores Sociais, Estimativas da população residente com data de referência 1o de julho de 2024</td></tr><tr><td>Escolariza&ccedil;&atilde;o <span>6 a 14 anos</span>: IBGE, Censo Demográfico 2010</td></tr><tr><td>IDHM <span>&Iacute;ndice de desenvolvimento humano municipal</span>: Programa das Nações Unidas para o Desenvolvimento - PNUD</td></tr><tr><td>Mortalidade infantil: Ministério da Saúde, Departamento de Informática do Sistema Único de Saúde - DATASUS 2022</td></tr><tr><td>Total de receitas brutas realizadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>Total de despesas brutas empenhadas: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2023]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jun. 2024, Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2023 e Despesas orçamentárias empenhadas (Anexo I-D) 2023. In: Brasil. Secretaria do Tesouro Nacional</td></tr><tr><td>PIB per capita: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA</td></tr></table>
